Division Office Name	Sub Division	Office ID	Sub Office	Branch Office	office-type-code	PIN
Karad Division	SDIP Vaduj	24661431	Aundh S.O	Aundh S.O	SPO	415510
Karad Division	SDIP Vaduj	24107131	Aundh S.O	Gopuj B.O	BPO	415510
Karad Division	SDIP Vaduj	24107143	Aundh S.O	Jaigaon B.O	BPO	415510
Karad Division	SDIP Vaduj	24107209	Aundh S.O	Nandoshi B.O	BPO	415510
Karad Division	SDIP Vaduj	24107285	Aundh S.O	Trimali B.O	BPO	415510
Karad Division	ASP Karad West	24661432	Bahule S.O	Bahule S.O	SPO	415209
Karad Division	ASP Karad West	24107125	Bahule S.O	Garwade B.O	BPO	415209
Karad Division	ASP Karad West	24107215	Bahule S.O	Navadi B.O	BPO	415209
Karad Division	ASP Karad West	24107253	Bahule S.O	Sajur B.O	BPO	415209
Karad Division	ASP Karad West	24107271	Bahule S.O	Sonaichi Wadi B.O	BPO	415209
Karad Division	ASP Karad West	24661433	Chaphal S.O	Chaphal S.O	SPO	415520
Karad Division	ASP Karad West	24107104	Chaphal S.O	Chavanwadi B.O	BPO	415520
Karad Division	ASP Karad West	24107111	Chaphal S.O	Dadholi B.O	BPO	415520
Karad Division	ASP Karad West	24107112	Chaphal S.O	Dervan B.O	BPO	415520
Karad Division	ASP Karad West	24107144	Chaphal S.O	Jalagewadi B.O	BPO	415520
Karad Division	ASP Karad West	24107162	Chaphal S.O	Keloli B.O	BPO	415520
Karad Division	ASP Karad West	24107183	Chaphal S.O	Majgaon B.O	BPO	415520
Karad Division	ASP Karad West	24107210	Chaphal S.O	Nanegaon BK B.O	BPO	415520
Karad Division	ASP Karad West	24107211	Chaphal S.O	Nanegaon KH B.O	BPO	415520
Karad Division	ASP Karad West	24107225	Chaphal S.O	Padloshi B.O	BPO	415520
Karad Division	SDIP Vaduj	24107082	Dahivadi S.O	Andhali B.O	BPO	415508
Karad Division	SDIP Vaduj	24107097	Dahivadi S.O	Bidal B.O	BPO	415508
Karad Division	SDIP Vaduj	24107098	Dahivadi S.O	Bijawadi B.O	BPO	415508
